Date;Afghanistan;Albania;Algeria;Andorra;Argentina;Armenia;Australia;Austria;Azerbaijan;Bahrain;Belarus;Belgium;Bosnia and Herzegovina;Brazil;Brunei;Bulgaria;Burkina Faso;Cambodia;Cameroon;Canada;Chile;China;Colombia;Costa Rica;Croatia;Cyprus;Czechia;Denmark;Diamond Princess;Dominican Republic;Ecuador;Egypt;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Japan;Jordan;Kazakhstan;Korea, South;Kuwait;Latvia;Lebanon;Lithuania;Luxembourg;Malaysia;Malta;Mexico;Moldova;Morocco;Netherlands;New Zealand;North Macedonia;Norway;Oman;Pakistan;Panama;Peru;Philippines;Poland;Portugal;Qatar;Romania;Russia;San Marino;Saudi Arabia;Senegal;Serbia;Singapore;Slovakia;Slovenia;South Africa;Spain;Sri Lanka;Sweden;Switzerland;Thailand;Trinidad and Tobago;Tunisia;Turkey;US;Ukraine;United Arab Emirates;United Kingdom;Uruguay;Uzbekistan;Venezuela;Vietnam;West Bank and Gaza;Afghanistan_SIR;Albania_SIR;Algeria_SIR;Andorra_SIR;Argentina_SIR;Armenia_SIR;Australia_SIR;Austria_SIR;Azerbaijan_SIR;Bahrain_SIR;Belarus_SIR;Belgium_SIR;Bosnia and Herzegovina_SIR;Brazil_SIR;Brunei_SIR;Bulgaria_SIR;Burkina Faso_SIR;Cambodia_SIR;Cameroon_SIR;Canada_SIR;Chile_SIR;China_SIR;Colombia_SIR;Costa Rica_SIR;Croatia_SIR;Cyprus_SIR;Czechia_SIR;Denmark_SIR;Diamond Princess_SIR;Dominican Republic_SIR;Ecuador_SIR;Egypt_SIR;Estonia_SIR;Finland_SIR;France_SIR;Georgia_SIR;Germany_SIR;Greece_SIR;Hungary_SIR;Iceland_SIR;India_SIR;Indonesia_SIR;Iran_SIR;Iraq_SIR;Ireland_SIR;Israel_SIR;Italy_SIR;Japan_SIR;Jordan_SIR;Kazakhstan_SIR;Korea, South_SIR;Kuwait_SIR;Latvia_SIR;Lebanon_SIR;Lithuania_SIR;Luxembourg_SIR;Malaysia_SIR;Malta_SIR;Mexico_SIR;Moldova_SIR;Morocco_SIR;Netherlands_SIR;New Zealand_SIR;North Macedonia_SIR;Norway_SIR;Oman_SIR;Pakistan_SIR;Panama_SIR;Peru_SIR;Philippines_SIR;Poland_SIR;Portugal_SIR;Qatar_SIR;Romania_SIR;Russia_SIR;San Marino_SIR;Saudi Arabia_SIR;Senegal_SIR;Serbia_SIR;Singapore_SIR;Slovakia_SIR;Slovenia_SIR;South Africa_SIR;Spain_SIR;Sri Lanka_SIR;Sweden_SIR;Switzerland_SIR;Thailand_SIR;Trinidad and Tobago_SIR;Tunisia_SIR;Turkey_SIR;US_SIR;Ukraine_SIR;United Arab Emirates_SIR;United Kingdom_SIR;Uruguay_SIR;Uzbekistan_SIR;Venezuela_SIR;Vietnam_SIR;West Bank and Gaza_SIR
2020-03-22;40;89;201;113;266;194;1549;3582;65;334;76;3401;126;1546;88;187;75;84;40;1469;687;81435;231;134;254;95;1120;1514;712;202;789;327;326;626;16243;54;24873;624;131;568;396;514;21638;233;906;883;59138;1104;112;60;8961;188;139;248;143;798;1306;90;316;94;115;4217;102;115;2385;55;875;313;363;380;634;1600;494;433;367;175;511;67;222;455;185;414;274;28768;82;1986;7474;599;50;75;1236;33152;73;153;10395;158;43;70;113;52;40.0;89.0;201.0;113.0;266.0;194.0;1549.0;3582.0;65.0;334.0;76.0;3401.0;126.0;1546.0;88.0;187.0;75.0;84.0;40.0;1469.0;687.0;81435.0;231.0;134.0;254.0;95.0;1120.0;1514.0;712.0;202.0;789.0;327.0;326.0;626.0;16243.0;54.0;24873.0;624.0;131.0;568.0;396.0;514.0;21638.0;233.0;906.0;883.0;59138.0;1104.0;112.0;60.0;8961.0;188.0;139.0;248.0;143.0;798.0;1306.0;90.0;316.0;94.0;115.0;4217.0;102.0;115.0;2385.0;55.0;875.0;313.0;363.0;380.0;634.0;1600.0;494.0;433.0;367.0;175.0;511.0;67.0;222.0;455.0;185.0;414.0;274.0;28768.0;82.0;1986.0;7474.0;599.0;50.0;75.0;1236.0;33152.0;73.0;153.0;10395.0;158.0;43.0;70.0;113.0;52.0
2020-03-23;40;104;230;133;301;235;1682;4474;72;377;81;3743;136;1924;91;201;99;87;56;2088;801;81498;277;158;315;116;1236;1572;712;245;981;366;352;700;20123;61;29056;695;167;588;499;579;23049;266;1125;1071;63927;1144;127;62;8961;189;180;267;179;875;1518;107;367;109;143;4764;102;136;2621;66;972;345;395;462;749;2060;501;576;438;187;562;79;249;509;186;442;402;35136;97;2168;8795;721;51;89;1529;43850;73;198;12744;162;46;77;123;59;42.53066632250471;92.02984872997824;209.6217267315033;115.9238128738649;279.80675535749356;203.56360155071053;1580.278380441791;3653.5519065693475;68.53629817786945;348.63548822506885;80.90735927675466;3514.966958977021;130.72337953573808;1641.7375964307082;89.51956427008442;193.61873299569217;76.5412505863047;84.60892430958756;42.21444898130024;1535.953277204359;726.6081927739879;81479.82739482893;243.77289910358772;139.3774245022881;260.17845311366455;97.65072448300279;1146.7714958566398;1553.6470116258686;712.0000186053582;212.1856015832559;822.8857016070625;344.19876747233593;340.92404536346015;645.6175193026255;16696.276536179954;55.63144657272451;26322.894454829104;634.7009632128609;135.55647873410487;578.5151865928505;421.9409004882731;536.8830424152711;22209.760821265798;245.25706732875065;942.2358404144509;914.480067551137;60375.597032443;1136.9849810612689;114.45307728919276;63.72248395069555;8999.548077169147;197.8914330465372;142.70785898731438;254.43299687549742;147.1784793635742;812.0404218288347;1338.168190207115;91.70713292394882;334.98637438571336;98.5241610925869;119.96589783481964;4338.149613805634;105.57145821368388;120.16861366363202;2429.471467656622;58.496349390522845;922.0700559583088;328.13139319319777;384.51275097546966;398.73344287633245;658.8209545559479;1658.2546340538872;520.8857071984507;450.39553014750214;391.8090272251209;178.81677472240332;540.0809368940915;70.01080502218292;233.21901270698044;476.7219530100862;189.2779140863289;420.679934798193;291.1017243323226;29520.574621126172;84.33623317043042;2062.332511295993;7619.7847480991195;613.6476336897235;51.05362022554316;77.05548384484455;1298.5244030408398;34770.09912800828;77.0860290367431;161.48119993752897;11098.563297225513;161.2802513990128;45.2359590610632;73.15139661072017;114.53188437168642;54.235925000913554
2020-03-24;74;123;264;164;387;249;2044;5283;87;392;81;4269;166;2247;104;218;114;91;66;2790;977;81591;378;177;382;124;1394;1718;712;312;1082;402;369;792;22622;70;32986;743;187;648;536;686;24811;316;1329;1238;69176;1217;154;72;9037;191;197;318;209;1099;1624;110;405;125;170;5580;155;148;2863;84;1063;345;416;552;901;2362;526;794;495;187;767;86;303;558;204;480;554;39885;102;2398;9877;827;57;114;1872;54112;97;248;15126;189;50;84;134;59;45.22136259327781;95.16238859755167;218.61236582424414;118.91857292716574;294.3282583598527;213.58326999942756;1612.1733155629267;3726.4114829295604;72.26480941401219;363.9099065161945;86.1314305156813;3632.6659258294103;135.62326380135408;1743.4025057907465;91.05046762856526;200.47030131679244;78.1138375334078;85.22220857132417;44.551368043478945;1605.9410348734336;768.4979088346404;81524.67855097826;257.2508604971293;144.96690964347025;266.5063971485409;100.372578382843;1174.16974221687;1594.2784492687333;712.0000369084546;222.88021662619997;858.2209961968329;362.30066791837646;356.44646631904607;665.8249634399922;17161.814683217428;57.31122151990603;27848.620953753114;645.5854369469221;140.26966685471265;589.1878512674177;449.58102664430567;560.7832699400712;22796.11938806529;258.1573450542539;979.8981522243973;947.0785912732956;61635.42118934807;1170.948234082525;116.95856149312002;67.6758479909449;9038.261970123885;208.3026507801879;146.5090588726864;261.0328618883651;151.47536345943902;826.3166874997037;1371.0683168319472;93.44656435256627;355.11319042333173;103.26575173878835;125.14608174834561;4462.660287375133;109.26423138696222;125.56384776423609;2474.646677287029;62.21488552862439;971.668602985076;343.9840961809311;407.30001309280266;418.38894758542733;684.6084998253883;1718.598626571275;549.2314220618244;468.4880976597311;418.2948168625547;182.70370136478735;570.8154638252823;73.15654578705058;244.99659321829174;499.47669802799487;193.65253861653724;427.45889562774886;309.27060004093966;30291.970719767258;86.73834540450576;2141.5623540506604;7768.093400045793;628.6185588969345;52.12944274669226;79.1668963190739;1364.2043120828764;36466.50150332271;81.40069374551953;170.4320096588803;11848.116218710118;164.62462826451358;47.588121631497145;76.44458054604561;116.08448469645698;56.56789487530457
2020-03-25;84;146;302;188;387;265;2364;5588;93;419;86;4937;176;2554;109;242;146;96;75;3251;1197;81661;470;201;442;132;1654;1862;712;392;1173;456;404;880;25600;75;37323;821;226;737;657;790;27017;346;1564;2369;74386;1314;172;81;9137;195;221;333;274;1333;1796;129;475;149;225;6438;205;177;3084;99;1201;443;480;636;1051;2995;537;906;658;208;900;99;384;631;216;528;709;49515;102;2712;10897;934;60;173;2433;66055;145;333;17843;217;60;91;141;59;48.082198437984545;98.4010686090908;227.9876225464685;121.98574951208802;309.6013080667729;224.07918066474124;1644.6963390548874;3800.5975457535915;76.19596131287004;379.8509342974726;91.69263244562374;3754.2131315872675;140.70620552192668;1851.3615301817126;92.59214248171268;207.5627923266123;79.71838394482005;85.83988320965081;47.017516153388;1679.0992062813991;812.8003266583219;81569.55348001629;271.472666792717;150.77651020714575;272.98740984054115;103.16730759596962;1202.208769556241;1635.9158410048444;712.0000551449647;234.10880695265493;895.0673933633446;381.35296992643146;372.5829384958414;686.6384647664249;17639.92393783585;59.04069707182018;29453.066796938776;656.6565682298716;145.1448277882603;600.0188535101455;479.03167164934626;585.7457555924411;23397.420701976345;271.73441602043135;1019.0412200649931;980.835029213924;62917.70731140959;1205.918331952725;119.51751307638732;71.87440321407215;9077.142392080115;219.26089750325727;150.4056412819597;267.8039234907953;155.89378592201012;840.8323545930284;1404.713922320457;95.21890220305436;376.44890991778294;108.23519022889579;130.5497851084381;4590.61821219755;113.08217077231504;131.19511160975074;2520.5317344962573;66.16971784029957;1023.9310659934902;360.5914797206191;431.43724302936323;439.01174957556026;711.3998654816689;1781.1045549389817;579.1160666921136;487.30548309031553;446.57065187584874;186.66145951197257;603.297442373112;76.44323633081292;257.3596762406482;523.3129259517709;198.1259554992049;434.3380555270741;328.57318484916277;31082.612339879677;89.20815484509544;2223.796625700193;7918.956346345051;643.9181094999786;53.22793543342773;81.33573666915828;1433.1982154126833;38244.9288242347;85.95677917848423;179.87837160987192;12646.434441291016;168.03421309210432;50.06251990847967;79.88592282941778;117.6580797256065;59.000026729496824
2020-03-26;94;174;367;224;502;290;2810;6909;122;458;86;6235;191;2985;114;264;152;96;75;4042;1361;81782;491;231;495;146;1925;2023;712;488;1403;495;538;958;29551;79;43938;892;261;802;727;893;29406;382;1819;2693;80589;1416;212;111;9241;208;244;368;299;1453;2031;134;585;177;275;7468;283;201;3369;109;1373;558;580;707;1221;3544;549;1029;840;208;1012;105;384;683;226;562;927;57786;106;2998;11811;1045;65;197;3629;83611;196;333;20970;238;75;107;153;84;51.123920909865895;101.74945128537502;237.7638642049629;125.12682865539485;325.6645769001413;235.07223966423444;1677.859174622329;3876.128963431394;80.34074519214433;396.48743181675326;97.61269760064303;3879.7280154769537;145.9789973805926;1966.0041513288816;94.14399160375288;214.90456693703223;81.35552470998608;86.46197884941654;49.62002380401241;1755.5696667266602;859.6541388621832;81614.45219351572;286.47921854312403;156.81456144914023;279.62515240664334;106.03669141180028;1230.9028905546738;1678.581025789132;712.0000730932595;245.89750940440848;933.4889684828031;401.40539935026663;389.34869426825435;708.0744917129699;18130.9203291627;60.821280669511474;31139.090835180737;667.9175581005358;150.18739276131905;611.0089907910544;510.41141607493637;611.8175576946612;24014.016403995767;286.0235983708104;1059.7212404667341;1015.7902111788028;64222.68489639282;1241.9246555538964;122.13101126531365;76.33334687536936;9116.190059291399;230.79483867236593;154.3996751506156;274.75062239659553;160.43694983242221;855.5910196279224;1439.1186352230686;97.02476571149072;399.06609965349753;113.44339130910546;136.18663827678694;4722.1113700058;117.02923029364165;137.07215627932652;2567.132581080061;70.37585071800375;1079.000079710881;377.98835727404105;457.0043592179377;460.64928854908817;739.2336825932614;1845.847341763756;610.6227903019362;506.8765628431052;476.7574623347539;190.69070482781194;637.6260430206801;79.87715585532875;270.33640423690326;548.2815836856348;202.70028642008393;441.3185911963858;349.0801836911288;31892.930518767284;91.74752750774775;2309.146157439007;8072.403761843975;659.5516109060221;54.34957600080281;83.56354298069483;1505.6724841973567;40109.272894279195;90.7677845874508;189.84765495889206;13496.428355750339;171.51009915604115;52.665498641927535;83.48208021735975;119.2529519333484;61.53661343150609
2020-03-27;110;186;409;267;589;329;3143;7657;165;466;94;7284;237;3417;115;293;180;99;91;4682;1665;81897;539;263;586;162;2279;2200;712;581;1595;536;575;1041;33402;83;50871;966;300;890;887;1046;32332;458;2121;3035;86498;1530;235;150;9332;225;280;391;358;1605;2161;139;717;199;345;8647;368;219;3755;131;1495;674;635;803;1389;4268;562;1292;1036;223;1104;119;457;732;269;632;1170;65719;106;3363;12928;1136;66;227;5698;102101;310;405;24219;274;88;107;163;91;54.35795437553733;105.21121660649693;247.9581467657723;128.3433125639336;342.5587032432906;246.58409267028415;1711.6737382718077;3953.0246455861898;84.71074592586727;413.8494875549804;103.91475612156415;4009.3332828662647;151.4486807580068;2087.74391954366;95.70538782052444;222.5042682825031;83.02590669480138;87.08852631728125;52.36641305354807;1835.5004761620805;909.2059780597311;81659.37470305379;302.3136477687832;163.0896867345846;286.4233716528337;108.98254256357997;1260.2667046681324;1722.2961478233449;712.0000907533413;258.2736855105085;973.5524664461475;422.51026486808325;406.7584122684293;730.1498486246197;18635.126480212402;62.654415773542496;32909.5013272241;679.3716625926899;155.40296548586406;622.1589952025621;543.8466057990296;639.047804603649;24646.264814256952;301.0620326593586;1101.9963764056856;1051.9863848709356;65550.57763971911;1278.9974145027315;124.80015428139836;81.0688167873542;9155.405691089274;242.93463315691673;158.4932560405693;281.87751453903866;165.10812860348298;870.5963178827076;1474.2961607978723;98.86478567651685;423.04167664269994;118.90178903921651;142.06668510884302;4857.229543777053;121.10946790188063;143.20508202976444;2614.454984042447;74.84923963258335;1137.0258665340891;396.2110372981447;484.0860039308176;483.35131429881017;768.1500334414785;1912.9043172833592;643.839188826402;527.2313500322824;508.984341823369;194.7920676768255;673.9060425601746;83.46485984879648;283.95617136612407;574.4359731155268;207.37769345972015;448.40168254679713;370.8667061713147;32723.363205992166;94.35837840852973;2397.725624229235;8228.465569351676;675.5243734370343;55.494852230144794;85.85189330805134;1581.8017530371817;42063.60270559403;95.8479628453822;200.3687325780028;14401.144754686546;175.05339025125076;55.40373101273153;87.24000762378382;120.86938754586707;64.18213108346252
2020-03-28;110;197;454;308;690;407;3640;8271;182;476;94;9134;258;3904;120;331;207;99;91;5576;2015;81999;608;295;657;179;2631;2366;712;719;1823;576;645;1167;38105;90;57695;1061;343;963;987;1155;35408;506;2415;3619;92472;1728;246;228;9478;235;305;412;394;1831;2320;149;848;231;402;9819;451;241;4015;152;1597;786;671;1075;1638;5170;590;1452;1264;224;1203;130;659;802;292;684;1187;73235;113;3663;14076;1245;74;278;7402;122059;356;468;27062;303;104;119;174;98;57.79644333419705;108.7901653556441;258.5882434108934;131.63671864230204;360.32638929298724;258.63713214371785;1746.15213999277;4031.3035313829214;89.31817390866793;431.96846899388686;110.62342595109806;4143.154963983238;157.12255425729438;2217.019953921185;97.27567381804576;230.3708305043148;84.73018901610244;87.71955664315959;55.26461895038186;1919.0461351125005;961.6108704606991;81704.32102021214;319.0214384039991;169.61080516810412;293.38590203646623;112.00670730565744;1290.3151026568519;1767.0836511919113;712.00010812521;271.2659734171396;1015.3274075929237;444.7225895211772;424.82609805421987;752.881674844098;19152.871662785587;64.541582433314;34767.0316577902;691.0221930894945;160.79732697100505;633.4695304062767;579.4718588422082;667.4877851176475;25294.53096976688;316.8887741294592;1145.926812227386;1089.4672640421275;66901.60295587346;1317.1676689536325;127.52605960134376;86.09794979517625;9194.790009902074;255.7120106000566;162.6885053564416;289.18927397326667;169.91066652349727;885.8519232287347;1510.260270883619;100.73960454566928;448.4571698756422;124.62236134398673;148.20040076187038;4996.064327087631;125.32704659769135;149.60434576745234;2662.504524210663;79.60685161516238;1198.1666394056615;415.2973758801787;512.7718234923605;507.1699968952479;798.1905027978742;1982.3552813202157;678.8575390523205;548.4010386220403;543.3890955965692;198.96615085503882;712.2481404928739;87.21319204207951;298.2496687161896;601.8318562424353;212.16037968196636;455.58851228180356;394.0125421588012;33574.355419864936;97.04267271024298;2489.6536586292345;8387.171418715694;691.8416860336406;56.66426218232948;88.20240651115405;1661.769324791386;44112.17178021401;101.21236264795283;211.47206327115643;15363.767702530318;178.66520042841128;58.284235648292785;91.16697151637662;122.50767657406301;66.94124665296444
2020-03-29;120;212;511;334;745;424;3984;8788;209;499;94;10836;323;4256;126;346;222;103;139;6280;2245;82122;702;314;713;214;2817;2564;712;859;1924;609;679;1240;40708;91;62095;1156;408;1020;1024;1285;38309;547;2615;4247;97689;1907;259;284;9583;255;347;438;460;1950;2470;151;993;263;479;10930;514;259;4284;167;1717;901;852;1418;1862;5962;634;1815;1534;224;1299;142;741;844;314;730;1280;80110;117;3943;14829;1388;78;312;9217;141205;475;570;29954;309;144;119;188;109;61.452296688307584;112.49022307183048;269.67267400857617;135.0085789174433;379.01250335709;271.2545021173469;1781.3066859135913;4110.984577442432;94.17589887518615;450.8770750233393;117.76490622920912;4281.322470704539;163.0081829504184;2354.298509304093;98.85416195626563;238.51348801806915;86.46904319445372;88.35510106315823;58.32301213014027;2006.3678514963603;1017.0327055307765;81749.2911565769;336.65055140124394;176.38713924061423;300.51666719491664;115.11106540956362;1321.0632696366165;1812.96627371403;712.0001252088655;284.9043416032032;1058.8861971564784;468.10025124402125;443.5649547930191;776.2874432901649;19684.49185232575;66.48429797381874;36714.31159170959;702.8725179509457;166.37644040995085;644.9411881932585;617.430604034255;697.1910438050916;25959.186653161913;333.5448893769327;1191.5748085429038;1128.2780770924255;68275.9714800438;1356.4673517005822;130.3098641057423;91.43894293564745;9234.343741259849;269.1603530883637;166.9875694784333;296.6906959082833;174.8479793350465;901.3615479372993;1547.0247928715764;102.64987670985293;475.39899036350096;130.61765557267475;154.59871010397575;5138.709131244433;129.6862355188078;156.2807680541737;2711.286583967846;84.66672903874912;1262.589010488579;435.28683042270745;543.1567593374708;532.1600440267158;829.3982315077985;2054.282567410881;715.7750451266598;570.4180487346764;580.1188255881982;203.2135274480851;752.7692860816225;91.12929676295612;313.2489297296054;630.5275647435252;217.05058949034353;462.8802658725735;418.6024465363514;34446.35909350675;99.80242687994775;2585.052966919041;8548.55064308786;708.5088086473361;57.858314420343596;90.61674323600458;1745.7675937396662;46259.42572002821;106.87687303760951;223.18977839326442;16387.618414046025;182.34665368970443;61.31439458611412;95.27056380416151;124.16811290734698;69.81882610587293
2020-03-30;170;223;584;370;820;482;4361;9618;273;515;152;11899;368;4579;127;359;246;107;139;7398;2555;82198;798;330;790;230;3001;2755;712;901;1962;656;715;1352;45170;103;66885;1212;447;1086;1251;1414;41495;630;2910;4695;101739;2001;268;302;9661;266;376;446;491;1988;2626;156;1094;298;556;11817;589;285;4445;179;1938;989;950;1546;2055;6408;693;2109;1836;230;1453;162;785;879;336;756;1326;87956;122;4359;15922;1524;82;312;10827;162707;548;611;34281;320;149;135;203;116;65.33923633737992;116.31544393866139;281.23073615012567;138.46043921556017;398.6641831112483;284.4600999948693;1817.149880186821;4192.086745080708;99.29748384241502;470.6093910819539;125.36707914825992;4423.968650664803;169.11340779871006;2500.0746546712708;100.44013415153017;246.9417849500013;88.2431533345364;88.99519101666459;61.550421521064564;2097.633803675852;1075.6447401644757;81794.28512373871;355.25155575513537;183.4282224210606;307.8196821519454;118.2975298961657;1352.5266897412885;1859.9670389108294;712.0001420043078;299.2201423018859;1104.304244652715;492.70412678859805;462.98724405897;800.3849580645406;20230.3297704311;68.48411765456542;38753.837474829044;714.9260636384963;172.14645597111382;656.5744851029781;657.8756662753522;728.2134774122479;26640.610417105025;351.07355370824797;1239.0047578733788;1168.4656157947866;69673.88656164269;1396.9292907336726;133.15272425294012;97.11111764507736;9274.06761381698;283.3147778103316;171.3926188020264;304.38670008734846;179.92355477181462;917.1289424203447;1584.6035983877146;104.59626882252734;503.9587296032253;136.90081565684935;161.2730071829633;5285.259190435562;134.1914108398986;163.2455396150879;2760.8063349871804;90.04805595760742;1330.4684262721098;456.22051445244836;575.3413604758157;558.3788212218801;861.8179717847454;2128.771106679806;754.6940850045073;593.3160740641302;619.3305646273346;207.5347394582958;795.5930305880908;95.2206319782759;328.987375882022;660.5841121669102;222.05060920107692;470.2781306906942;444.72645516735463;35339.832912104015;102.63970987167286;2684.050446521847;8712.632210539025;725.5309653657813;59.07752821870584;93.09660693259978;1833.9984592977733;48510.00972008323;112.85826836678041;235.5557690501555;17476.15397717418;186.09888367451717;64.50197152135196;99.55871655905736;125.85099436069056;72.81994284619557
2020-03-31;174;243;716;376;1054;532;4559;10180;298;567;152;12775;420;5717;129;399;261;109;193;8527;2844;82279;906;347;867;262;3308;3039;712;1109;2240;710;745;1418;52827;110;71808;1314;492;1135;1397;1528;44605;694;3235;5358;105792;2255;274;343;9786;289;398;470;537;2178;2766;169;1215;353;617;12667;647;329;4641;192;2118;1181;1065;2084;2311;7443;781;2245;2337;236;1563;175;900;926;363;802;1353;95923;143;4834;16605;1651;87;394;13531;188744;645;664;38815;338;172;135;212;119;69.47184895648272;120.27001480017195;293.2825354055152;141.99385823353265;419.3309527223206;298.2785764885765;1853.6944269137925;4274.628986947627;104.6972228990571;491.2009444647735;133.45962070207744;4571.229843328946;175.44635552606093;2654.8740416050537;102.03284181895602;255.66558493192633;90.05321637442651;89.63985814807509;64.95616042167607;2193.0194189504973;1137.6301384971644;81839.3029332926;374.8777725130511;190.74390673137734;315.29905526322995;121.56804722147315;1384.7211499041177;1908.109248569957;712.000158511537;314.24616783488966;1151.6600792237348;518.5982455049491;483.1041368868938;825.1923515178519;20790.734928396407;70.54263532905433;40887.93785732642;727.1863153994877;178.1137158313593;668.3698589605413;700.9698735553194;760.6134284263503;27339.187600774465;369.5201618599666;1288.2832405857869;1210.0782913468768;71095.54375213009;1438.5872321812785;136.05581632376757;103.13499303495277;9313.962359361458;298.21222528339746;175.9058465926705;312.2823338310725;185.14095306891545;933.1578949938073;1623.0105920431154;106.579459934618;534.2334673760624;143.48560840359966;168.23517457861797;5435.811565847662;138.84705652197033;170.51022734939266;2811.0687255750745;95.7712339170654;1401.989661381909;478.14125171216966;609.4321202115459;585.8864794260327;895.49614369394;2205.9084920588502;795.7224903426909;617.130130129826;661.1919375578419;211.93029542847884;840.8499020874658;99.49498198416721;345.499862531386;692.0653064612972;227.16276752072952;477.78329524350477;472.48021065580525;36255.24218355215;105.55664432440575;2786.7773047457704;8879.444703409645;742.9133356319707;60.32243378339756;95.6437448699362;1926.6738085371976;50868.776914556445;119.17426026061815;248.60578653008577;18632.964718516487;189.9230333087991;67.85513123366883;104.03971647209163;127.55662271364078;75.94988665894739
