doubling every day;doubling every two days;doubling every 4 days;doubling every 10 days;Date;China;Italy;Iran;Germany;Korea, South;Spain;US;Brazil;India;Russia
100.0;100.0;100.0;100.0;0;548.0;155.0;245.0;159.0;204.0;165.0;174.0;151.0;156.0;199.0
200.0;141.4213562373095;118.9207115002721;107.17734625362931;1;643.0;229.0;388.0;196.0;433.0;222.0;222.0;151.0;194.0;253.0
400.0;200.0;141.4213562373095;114.86983549970351;2;920.0;322.0;593.0;262.0;602.0;259.0;337.0;162.0;244.0;306.0
800.0;282.842712474619;168.1792830507429;123.11444133449163;3;1406.0;453.0;978.0;482.0;833.0;400.0;451.0;200.0;330.0;367.0
1600.0;400.0;200.0;131.9507910772894;4;2075.0;655.0;1501.0;670.0;977.0;500.0;519.0;321.0;396.0;438.0
3200.0;565.685424949238;237.8414230005442;141.4213562373095;5;2877.0;888.0;2336.0;799.0;1261.0;673.0;711.0;372.0;499.0;495.0
6400.0;800.0;282.842712474619;151.5716566510398;6;5509.0;1128.0;2922.0;1040.0;1766.0;1073.0;1109.0;621.0;536.0;658.0
12800.0;1131.370849898476;336.3585661014858;162.4504792712471;7;6087.0;1694.0;3513.0;1176.0;2337.0;1695.0;1561.0;793.0;657.0;840.0
25600.0;1600.0;400.0;174.11011265922482;8;8141.0;2036.0;4747.0;1457.0;3150.0;2277.0;2157.0;1021.0;727.0;1036.0
51200.0;2262.741699796952;475.6828460010884;186.60659830736148;9;9802.0;2502.0;5823.0;1908.0;3736.0;2277.0;2870.0;1546.0;887.0;1264.0
102400.0;3200.0;565.685424949238;200.0;10;11891.0;3089.0;6566.0;2078.0;4335.0;5232.0;2968.0;1924.0;987.0;1534.0
204800.0;4525.483399593904;672.7171322029716;214.35469250725862;11;16630.0;3858.0;7161.0;3675.0;5186.0;6391.0;4360.0;2247.0;1024.0;1836.0
409600.0;6400.0;800.0;229.73967099940697;12;19716.0;4636.0;8042.0;4585.0;5621.0;7798.0;6141.0;2554.0;1251.0;2337.0
819200.0;9050.966799187809;951.3656920021768;246.22888266898326;13;23707.0;5883.0;9000.0;5795.0;6088.0;9942.0;8917.0;2985.0;1397.0;2777.0
1638400.0;12800.0;1131.370849898476;263.9015821545788;14;27440.0;7375.0;10075.0;7272.0;6593.0;11748.0;14157.0;3417.0;1998.0;3548.0
3276800.0;18101.933598375617;1345.4342644059432;282.842712474619;15;30587.0;9172.0;11364.0;9257.0;7041.0;13910.0;19479.0;3904.0;2543.0;4149.0
6553600.0;25600.0;1600.0;303.14331330207966;16;34110.0;10149.0;12729.0;12327.0;7314.0;17963.0;25825.0;4256.0;2567.0;4731.0
13107200.0;36203.867196751235;1902.7313840043537;324.9009585424942;17;36814.0;12462.0;13938.0;15320.0;7478.0;20410.0;33761.0;4579.0;3082.0;5389.0
26214400.0;51200.0;2262.741699796952;348.22022531844965;18;39829.0;15113.0;14991.0;19848.0;7513.0;25374.0;43850.0;5717.0;3588.0;6343.0
52428800.0;72407.73439350247;2690.8685288118863;373.21319661472296;19;42354.0;17660.0;16169.0;22213.0;7755.0;28768.0;54112.0;6836.0;4778.0;7497.0
104857600.0;102400.0;3200.0;400.0;20;44386.0;21157.0;17361.0;24873.0;7869.0;35136.0;66055.0;8044.0;5311.0;8672.0
209715200.0;144815.46878700494;3805.4627680087074;428.70938501451724;21;44759.0;24747.0;18407.0;29056.0;7979.0;39885.0;84091.0;9056.0;5916.0;10131.0
419430400.0;204800.0;4525.483399593904;459.47934199881405;22;59895.0;27980.0;19644.0;32986.0;8086.0;49515.0;102276.0;10360.0;6725.0;11917.0
838860800.0;289630.9375740099;5381.737057623773;492.4577653379664;23;66358.0;31506.0;20610.0;37323.0;8162.0;57786.0;122069.0;11130.0;7598.0;13584.0
1677721600.0;409600.0;6400.0;527.8031643091576;24;68413.0;35713.0;21638.0;43938.0;8236.0;65719.0;141205.0;12161.0;8446.0;15770.0
3355443200.0;579261.8751480198;7610.925536017415;565.685424949238;25;70513.0;41035.0;23049.0;50871.0;8320.0;73235.0;162707.0;14034.0;9205.0;18328.0
6710886400.0;819200.0;9050.966799187809;606.2866266041593;26;72434.0;47021.0;24811.0;57695.0;8413.0;80110.0;188724.0;16170.0;10453.0;21102.0
13421772800.0;1158523.7502960395;10763.474115247545;649.8019170849884;27;74211.0;53578.0;27017.0;62095.0;8565.0;87956.0;214205.0;18092.0;11487.0;24490.0
26843545600.0;1638400.0;12800.0;696.4404506368992;28;74619.0;59138.0;29406.0;66885.0;8652.0;95923.0;244610.0;19638.0;12322.0;27938.0
53687091200.0;2317047.500592079;15221.85107203483;746.4263932294459;29;75077.0;63927.0;32332.0;71808.0;8799.0;104118.0;276547.0;20727.0;13430.0;32008.0
107374182400.0;3276800.0;18101.933598375617;800.0;30;75550.0;69176.0;35408.0;77872.0;8961.0;112065.0;309699.0;22192.0;14352.0;36793.0
214748364800.0;4634095.001184158;21526.94823049509;857.4187700290345;31;77001.0;74386.0;38309.0;84794.0;8961.0;119199.0;337573.0;23430.0;15722.0;42853.0
429496729600.0;6553600.0;25600.0;918.9586839976281;32;77022.0;80589.0;41495.0;91159.0;9037.0;126168.0;367215.0;25262.0;17615.0;47121.0
858993459200.0;9268190.002368316;30443.70214406966;984.9155306759328;33;77241.0;86498.0;44605.0;96092.0;9137.0;131646.0;397992.0;28320.0;18539.0;52763.0
1717986918400.0;13107200.0;36203.867196751235;1055.6063286183153;34;77754.0;92472.0;47593.0;100123.0;9241.0;136675.0;429686.0;30425.0;20080.0;57999.0
3435973836800.0;18536380.004736632;43053.89646099018;1131.370849898476;35;78166.0;97689.0;50468.0;103374.0;9332.0;141942.0;464442.0;33682.0;21370.0;62773.0
