Date;China;Italy;Iran;Germany;Spain;US;Brazil;India;Russia
0;548.0;155.0;139.0;130.0;120.0;104.0;151.0;102.0;114.0
1;643.0;229.0;245.0;159.0;165.0;174.0;151.0;113.0;147.0
2;920.0;322.0;388.0;196.0;222.0;222.0;162.0;119.0;199.0
3;1406.0;453.0;593.0;262.0;259.0;337.0;200.0;142.0;253.0
4;2075.0;655.0;978.0;482.0;400.0;451.0;321.0;156.0;306.0
5;2877.0;888.0;1501.0;670.0;500.0;519.0;372.0;194.0;367.0
6;5509.0;1128.0;2336.0;799.0;673.0;711.0;621.0;244.0;438.0
7;6087.0;1694.0;2922.0;1040.0;1073.0;1109.0;793.0;330.0;495.0
8;8141.0;2036.0;3513.0;1176.0;1695.0;1561.0;1021.0;396.0;658.0
9;9802.0;2502.0;4747.0;1457.0;2277.0;2157.0;1546.0;499.0;840.0
10;11891.0;3089.0;5823.0;1908.0;2277.0;2870.0;1924.0;536.0;1036.0
11;16630.0;3858.0;6566.0;2078.0;5232.0;2968.0;2247.0;657.0;1264.0
12;19716.0;4636.0;7161.0;3675.0;6391.0;4360.0;2554.0;727.0;1534.0
13;23707.0;5883.0;8042.0;4585.0;7798.0;6141.0;2985.0;887.0;1836.0
14;27440.0;7375.0;9000.0;5795.0;9942.0;8917.0;3417.0;987.0;2337.0
15;30587.0;9172.0;10075.0;7272.0;11748.0;14157.0;3904.0;1024.0;2777.0
16;34110.0;10149.0;11364.0;9257.0;13910.0;19479.0;4256.0;1251.0;3548.0
17;36814.0;12462.0;12729.0;12327.0;17963.0;25825.0;4579.0;1397.0;4149.0
18;39829.0;15113.0;13938.0;15320.0;20410.0;33761.0;5717.0;1998.0;4731.0
19;42354.0;17660.0;14991.0;19848.0;25374.0;43850.0;6836.0;2543.0;5389.0
20;44386.0;21157.0;16169.0;22213.0;28768.0;54112.0;8044.0;2567.0;6343.0
21;44759.0;24747.0;17361.0;24873.0;35136.0;66055.0;9056.0;3082.0;7497.0
22;59895.0;27980.0;18407.0;29056.0;39885.0;84091.0;10360.0;3588.0;8672.0
23;66358.0;31506.0;19644.0;32986.0;49515.0;102276.0;11130.0;4778.0;10131.0
24;68413.0;35713.0;20610.0;37323.0;57786.0;122069.0;12161.0;5311.0;11917.0
25;70513.0;41035.0;21638.0;43938.0;65719.0;141205.0;14034.0;5916.0;13584.0
26;72434.0;47021.0;23049.0;50871.0;73235.0;162707.0;16170.0;6725.0;15770.0
27;74211.0;53578.0;24811.0;57695.0;80110.0;188724.0;18092.0;7598.0;18328.0
28;74619.0;59138.0;27017.0;62095.0;87956.0;214205.0;19638.0;8446.0;21102.0
29;75077.0;63927.0;29406.0;66885.0;95923.0;244610.0;20727.0;9205.0;24490.0
30;75550.0;69176.0;32332.0;71808.0;104118.0;276547.0;22192.0;10453.0;27938.0
31;77001.0;74386.0;35408.0;77872.0;112065.0;309699.0;23430.0;11487.0;32008.0
32;77022.0;80589.0;38309.0;84794.0;119199.0;337573.0;25262.0;12322.0;36793.0
33;77241.0;86498.0;41495.0;91159.0;126168.0;367215.0;28320.0;13430.0;42853.0
34;77754.0;92472.0;44605.0;96092.0;131646.0;397992.0;30425.0;14352.0;47121.0
35;78166.0;97689.0;47593.0;100123.0;136675.0;429686.0;33682.0;15722.0;52763.0
36;78600.0;101739.0;50468.0;103374.0;141942.0;464442.0;36658.0;17615.0;57999.0
37;78928.0;105792.0;53183.0;107663.0;148220.0;497943.0;38654.0;18539.0;62773.0
38;79356.0;110574.0;55743.0;113296.0;153222.0;527969.0;40743.0;20080.0;68622.0
39;79932.0;115242.0;58226.0;118181.0;158273.0;556522.0;43079.0;21370.0;74588.0
40;80136.0;119827.0;60500.0;122171.0;163027.0;581813.0;45757.0;23077.0;80949.0
41;80261.0;124632.0;62589.0;124908.0;166831.0;608878.0;50036.0;24530.0;87147.0
42;80386.0;128948.0;64586.0;127854.0;170099.0;637974.0;54043.0;26283.0;93558.0
43;80537.0;132547.0;66220.0;130072.0;172541.0;669272.0;59324.0;27890.0;99399.0
44;80690.0;135586.0;68192.0;131359.0;177644.0;701996.0;63100.0;29451.0;106498.0
45;80770.0;139422.0;70029.0;134753.0;184948.0;730337.0;67446.0;31324.0;114431.0
46;80823.0;143626.0;71686.0;137698.0;190839.0;756375.0;73235.0;33062.0;124054.0
47;80860.0;147577.0;73303.0;141397.0;191726.0;783716.0;79685.0;34863.0;134687.0
48;80887.0;152271.0;74877.0;143342.0;198674.0;809318.0;87187.0;37257.0;145268.0
49;80921.0;156363.0;76389.0;145184.0;200210.0;837422.0;92202.0;39699.0;155370.0
50;80932.0;159516.0;77995.0;147065.0;204178.0;871617.0;97100.0;42505.0;165929.0
51;80945.0;162488.0;79494.0;148291.0;208389.0;907908.0;101826.0;46437.0;177160.0
52;80977.0;165155.0;80868.0;150648.0;213024.0;940829.0;108620.0;49400.0;187859.0
53;81003.0;168941.0;82211.0;153129.0;202990.0;968518.0;115455.0;52987.0;198676.0
54;81033.0;172434.0;83505.0;154999.0;205905.0;990983.0;126611.0;56351.0;209688.0
55;81058.0;175925.0;84802.0;156513.0;207634.0;1015518.0;135773.0;59695.0;221344.0
56;81102.0;178972.0;85996.0;157770.0;209465.0;1043038.0;146894.0;62808.0;232243.0
57;81156.0;181228.0;87026.0;158758.0;210773.0;1072667.0;156061.0;67161.0;242271.0
58;81250.0;183957.0;88194.0;159912.0;212917.0;1106829.0;162699.0;70768.0;252245.0
59;81305.0;187327.0;89328.0;161539.0;213435.0;1136024.0;169594.0;74292.0;262843.0
60;81435.0;189973.0;90481.0;163009.0;215216.0;1161611.0;178214.0;78055.0;272043.0
61;81498.0;192994.0;91472.0;164077.0;216582.0;1184086.0;190137.0;81997.0;281752.0
62;81591.0;195351.0;92584.0;164967.0;217466.0;1208271.0;203165.0;85784.0;290678.0
63;81661.0;197675.0;93657.0;165664.0;218011.0;1233527.0;220291.0;90648.0;299941.0
64;81782.0;199414.0;94640.0;166152.0;219329.0;1261409.0;233511.0;95698.0;308705.0
65;81897.0;201505.0;95646.0;167007.0;220325.0;1288587.0;241080.0;100328.0;317554.0
66;81999.0;203591.0;96448.0;168162.0;221447.0;1314320.0;255368.0;106475.0;326448.0
67;82122.0;205463.0;97424.0;169430.0;222857.0;1334084.0;271885.0;112028.0;335882.0
68;82198.0;207428.0;98647.0;170588.0;223578.0;1352962.0;291579.0;118226.0;344481.0
69;82279.0;209328.0;99970.0;171324.0;224350.0;1375152.0;310087.0;124794.0;353427.0
70;82361.0;210717.0;101650.0;171879.0;227436.0;1396110.0;330890.0;131423.0;362342.0
71;82432.0;211938.0;103135.0;172576.0;228030.0;1423727.0;347398.0;138536.0;370680.0
72;82511.0;213013.0;104691.0;173171.0;228691.0;1449027.0;363211.0;144950.0;379051.0
73;82543.0;214457.0;106220.0;174098.0;229540.0;1474128.0;374898.0;150793.0;387623.0
74;82602.0;215858.0;107603.0;174478.0;230183.0;1493132.0;391222.0;158086.0;396575.0
75;82665.0;217185.0;109286.0;175233.0;230698.0;1514901.0;411821.0;165386.0;405843.0
76;82718.0;218268.0;110767.0;175752.0;230698.0;1535350.0;438238.0;173491.0;414328.0
77;82809.0;219070.0;112725.0;176369.0;231606.0;1559157.0;465166.0;181827.0;423186.0
78;82883.0;219814.0;114533.0;176551.0;232037.0;1584512.0;498440.0;190609.0;431715.0
79;82941.0;221216.0;116635.0;177778.0;232555.0;1608653.0;514849.0;198370.0;440538.0
80;83014.0;222104.0;118392.0;178473.0;233037.0;1630476.0;526447.0;207191.0;449256.0
81;83134.0;223096.0;120198.0;179021.0;234824.0;1651289.0;555383.0;216824.0;458102.0
82;83213.0;223885.0;122492.0;179710.0;235290.0;1670280.0;584016.0;226713.0;467073.0
83;83306.0;224760.0;124603.0;179986.0;235772.0;1689163.0;614941.0;236184.0;476043.0
84;83356.0;225435.0;126949.0;180328.0;235400.0;1707445.0;645771.0;246622.0;484630.0
85;83403.0;225886.0;129341.0;180600.0;236259.0;1730260.0;672846.0;257486.0;493023.0
86;83760.0;226699.0;131652.0;181200.0;236259.0;1754764.0;691758.0;265928.0;501800.0
87;83787.0;227364.0;133521.0;181524.0;237906.0;1779214.0;707412.0;276146.0;510761.0
88;83805.0;228006.0;135701.0;182196.0;238564.0;1799124.0;739503.0;286605.0;519458.0
89;83817.0;228658.0;137724.0;182922.0;239228.0;1816479.0;772416.0;297535.0;528267.0
90;83853.0;229327.0;139511.0;183189.0;239479.0;1837374.0;802828.0;308993.0;536484.0
91;83868.0;229858.0;141591.0;183410.0;239638.0;1857332.0;828810.0;320922.0;544725.0
92;83884.0;230158.0;143849.0;183594.0;239932.0;1878683.0;850514.0;332424.0;552549.0
93;83899.0;230555.0;146668.0;183879.0;240326.0;1903907.0;867624.0;343091.0;560321.0
94;83909.0;231139.0;148950.0;184121.0;240660.0;1926639.0;888271.0;354065.0;568292.0
95;83912.0;231732.0;151466.0;184472.0;240978.0;1944370.0;923189.0;366946.0;576162.0
96;83918.0;232248.0;154445.0;184924.0;241310.0;1961785.0;955377.0;380532.0;583879.0
97;83940.0;232664.0;157562.0;185450.0;241550.0;1979912.0;978142.0;395048.0;591465.0
98;83944.0;232997.0;160696.0;185750.0;241717.0;2000706.0;1032913.0;410451.0;598878.0
99;83956.0;233197.0;164270.0;186109.0;241966.0;2023656.0;1067579.0;425282.0;606043.0
