Date;China;Italy;Iran;Germany;Korea, South;Spain;US;Brazil;India;Russia
2020-01-22;548;0;0;0;1;0;1;0;0;0
2020-01-23;643;0;0;0;1;0;1;0;0;0
2020-01-24;920;0;0;0;2;0;2;0;0;0
2020-01-25;1406;0;0;0;2;0;2;0;0;0
2020-01-26;2075;0;0;0;3;0;5;0;0;0
2020-01-27;2877;0;0;1;4;0;5;0;0;0
2020-01-28;5509;0;0;4;4;0;5;0;0;0
2020-01-29;6087;0;0;4;4;0;5;0;0;0
2020-01-30;8141;0;0;4;4;0;5;0;1;0
2020-01-31;9802;2;0;5;11;0;7;0;1;2
2020-02-01;11891;2;0;8;12;1;8;0;1;2
2020-02-02;16630;2;0;10;15;1;8;0;2;2
2020-02-03;19716;2;0;12;15;1;11;0;3;2
2020-02-04;23707;2;0;12;16;1;11;0;3;2
2020-02-05;27440;2;0;12;19;1;11;0;3;2
2020-02-06;30587;2;0;12;23;1;11;0;3;2
2020-02-07;34110;3;0;13;24;1;11;0;3;2
2020-02-08;36814;3;0;13;24;1;11;0;3;2
2020-02-09;39829;3;0;14;25;2;11;0;3;2
2020-02-10;42354;3;0;14;27;2;11;0;3;2
2020-02-11;44386;3;0;16;28;2;12;0;3;2
2020-02-12;44759;3;0;16;28;2;12;0;3;2
2020-02-13;59895;3;0;16;28;2;13;0;3;2
2020-02-14;66358;3;0;16;28;2;13;0;3;2
2020-02-15;68413;3;0;16;28;2;13;0;3;2
2020-02-16;70513;3;0;16;29;2;13;0;3;2
2020-02-17;72434;3;0;16;30;2;13;0;3;2
2020-02-18;74211;3;0;16;31;2;13;0;3;2
2020-02-19;74619;3;2;16;31;2;13;0;3;2
2020-02-20;75077;3;5;16;104;2;13;0;3;2
2020-02-21;75550;20;18;16;204;2;15;0;3;2
2020-02-22;77001;62;28;16;433;2;15;0;3;2
2020-02-23;77022;155;43;16;602;2;15;0;3;2
2020-02-24;77241;229;61;16;833;2;15;0;3;2
2020-02-25;77754;322;95;17;977;6;15;0;3;2
2020-02-26;78166;453;139;27;1261;13;15;1;3;2
2020-02-27;78600;655;245;46;1766;15;16;1;3;2
2020-02-28;78928;888;388;48;2337;32;16;1;3;2
2020-02-29;79356;1128;593;79;3150;45;24;2;3;2
2020-03-01;79932;1694;978;130;3736;84;30;2;3;2
2020-03-02;80136;2036;1501;159;4335;120;53;2;5;3
2020-03-03;80261;2502;2336;196;5186;165;73;2;5;3
2020-03-04;80386;3089;2922;262;5621;222;104;4;28;3
2020-03-05;80537;3858;3513;482;6088;259;174;4;30;4
2020-03-06;80690;4636;4747;670;6593;400;222;13;31;13
2020-03-07;80770;5883;5823;799;7041;500;337;13;34;13
2020-03-08;80823;7375;6566;1040;7314;673;451;20;39;17
2020-03-09;80860;9172;7161;1176;7478;1073;519;25;43;17
2020-03-10;80887;10149;8042;1457;7513;1695;711;31;56;20
2020-03-11;80921;12462;9000;1908;7755;2277;1109;38;62;20
2020-03-12;80932;15113;10075;2078;7869;2277;1561;52;73;28
2020-03-13;80945;17660;11364;3675;7979;5232;2157;151;82;45
2020-03-14;80977;21157;12729;4585;8086;6391;2870;151;102;59
2020-03-15;81003;24747;13938;5795;8162;7798;2968;162;113;63
2020-03-16;81033;27980;14991;7272;8236;9942;4360;200;119;90
2020-03-17;81058;31506;16169;9257;8320;11748;6141;321;142;114
2020-03-18;81102;35713;17361;12327;8413;13910;8917;372;156;147
2020-03-19;81156;41035;18407;15320;8565;17963;14157;621;194;199
2020-03-20;81250;47021;19644;19848;8652;20410;19479;793;244;253
2020-03-21;81305;53578;20610;22213;8799;25374;25825;1021;330;306
2020-03-22;81435;59138;21638;24873;8961;28768;33761;1546;396;367
2020-03-23;81498;63927;23049;29056;8961;35136;43850;1924;499;438
2020-03-24;81591;69176;24811;32986;9037;39885;54112;2247;536;495
2020-03-25;81661;74386;27017;37323;9137;49515;66055;2554;657;658
2020-03-26;81782;80589;29406;43938;9241;57786;84091;2985;727;840
2020-03-27;81897;86498;32332;50871;9332;65719;102276;3417;887;1036
2020-03-28;81999;92472;35408;57695;9478;73235;122069;3904;987;1264
2020-03-29;82122;97689;38309;62095;9583;80110;141205;4256;1024;1534
2020-03-30;82198;101739;41495;66885;9661;87956;162707;4579;1251;1836
2020-03-31;82279;105792;44605;71808;9786;95923;188724;5717;1397;2337
2020-04-01;82361;110574;47593;77872;9887;104118;214205;6836;1998;2777
2020-04-02;82432;115242;50468;84794;9976;112065;244610;8044;2543;3548
2020-04-03;82511;119827;53183;91159;10062;119199;276547;9056;2567;4149
2020-04-04;82543;124632;55743;96092;10156;126168;309699;10360;3082;4731
2020-04-05;82602;128948;58226;100123;10237;131646;337573;11130;3588;5389
2020-04-06;82665;132547;60500;103374;10284;136675;367215;12161;4778;6343
2020-04-07;82718;135586;62589;107663;10331;141942;397992;14034;5311;7497
2020-04-08;82809;139422;64586;113296;10384;148220;429686;16170;5916;8672
2020-04-09;82883;143626;66220;118181;10423;153222;464442;18092;6725;10131
2020-04-10;82941;147577;68192;122171;10450;158273;497943;19638;7598;11917
2020-04-11;83014;152271;70029;124908;10480;163027;527969;20727;8446;13584
2020-04-12;83134;156363;71686;127854;10512;166831;556522;22192;9205;15770
2020-04-13;83213;159516;73303;130072;10537;170099;581813;23430;10453;18328
2020-04-14;83306;162488;74877;131359;10564;172541;608878;25262;11487;21102
2020-04-15;83356;165155;76389;134753;10591;177644;637974;28320;12322;24490
2020-04-16;83403;168941;77995;137698;10613;184948;669272;30425;13430;27938
2020-04-17;83760;172434;79494;141397;10635;190839;701996;33682;14352;32008
2020-04-18;83787;175925;80868;143342;10653;191726;730337;36658;15722;36793
2020-04-19;83805;178972;82211;145184;10661;198674;756375;38654;17615;42853
2020-04-20;83817;181228;83505;147065;10674;200210;783716;40743;18539;47121
2020-04-21;83853;183957;84802;148291;10683;204178;809318;43079;20080;52763
2020-04-22;83868;187327;85996;150648;10694;208389;837422;45757;21370;57999
2020-04-23;83884;189973;87026;153129;10708;213024;871617;50036;23077;62773
